Inclination,In Flow Rate,Thruster Force,Weight on Bit,Torque on Bit,Drilling Speed,diff_Distance,diff_Depth,Internal Pressure,Annular Pressure,Fluid Loss,Distance,Depth,time_dt
79.72826086956522,0.5927608041939201,6.6,-0.011820330969267975,-0.09456264775413693,0.0,0.0,0.0,75.51594746716697,41.91217166979362,0.53051163010859,17.999999999999794,0.0,2021-04-29 08:41:30
79.72826086956522,0.58136154165304,6.52,0.22458628841607461,-0.10401891252955066,0.0,0.0,0.0,159.15806754221387,42.41727784410712,0.5203094687817765,17.999999999999794,0.0,2021-04-29 08:41:40
79.71467391304347,1.2425178567402702,6.62,0.44326241134751676,-0.1321388577827546,0.0,0.0,0.0,182.0156439686569,42.236696230598675,1.1120340092572425,17.999999999999794,0.0,2021-04-29 08:41:50
79.66032608695652,0.5927608041939201,7.71,0.6028368794326232,-0.1323254945875325,0.0,0.0,0.0,176.61804559222065,42.13251108647451,0.53051163010859,17.999999999999794,0.0,2021-04-29 08:42:00
79.6195652173913,0.58706117292348,7.78,0.5496453900709212,-0.10056330381078407,0.0,0.0,0.0,138.1418942394552,41.826067073170734,0.5254105494451833,17.999999999999794,0.0,2021-04-29 08:42:10
79.63315217391303,0.58136154165304,7.69,0.4314420803782497,-0.06528046421663429,0.0,0.0,0.0,97.43198874296434,41.642530487804876,0.5203094687817765,17.999999999999794,0.0,2021-04-29 08:42:20
79.68297101449275,0.58136154165304,7.87,0.31323877068557837,-0.03931279041330385,0.0,0.0,0.0,84.31519699812381,41.61585365853659,0.5203094687817765,17.999999999999794,0.0,2021-04-29 08:42:30
80.0,0.5927608041939201,14.76,-0.14184397163120663,0.10638297872340437,0.0,0.0,0.0,51.93089430894308,-0.4410569105691029,0.53051163010859,17.999999999999794,0.0,2021-04-29 08:53:10
80.0,0.58706117292348,14.91,0.1418439716312048,0.06560283687943275,0.0,0.0,0.0,57.621951219512184,-0.6741962305986667,0.5254105494451833,17.999999999999794,0.0,2021-04-29 08:53:20
80.0,0.58136154165304,25.22,0.4255319148936162,0.024822695035461122,1.8599999999999999,0.0,0.0,59.7560975609756,-0.9118625277161836,0.5203094687817765,17.999999999999794,0.0,2021-04-29 08:53:30
80.01358695652173,0.58136154165304,36.739999999999995,0.6560283687943255,-0.05319148936170197,1.71,3.0000000000036664,0.5202439149180957,62.42378048780486,-1.0670731707317047,0.5203094687817765,18.500000000000405,0.5202439149180957,2021-04-29 08:53:40
80.05434782608695,0.58136154165304,48.26,0.7092198581560276,-0.0638297872340424,1.5599999999999998,2.9999999999983373,0.518141885292352,64.02439024390243,-1.0670731707317047,0.5203094687817765,19.000000000000128,1.0383858002104476,2021-04-29 08:53:50
80.08152173913044,0.58136154165304,51.2,0.7092198581560276,-0.0638297872340424,1.5599999999999998,0.0,0.0,64.02439024390243,-0.8003048780487778,0.5203094687817765,19.000000000000128,1.0383858002104476,2021-04-29 08:54:00
80.16304347826086,0.58136154165304,50.08,0.6914893617021269,-0.06205673758865232,1.5599999999999998,0.0,0.0,64.55792682926828,0.07469512195122263,0.5203094687817765,19.000000000000128,1.0383858002104476,2021-04-29 08:54:10
80.19021739130434,0.5927608041939201,49.44,0.6028368794326233,-0.05496453900709204,1.8599999999999999,5.999999999996675,1.02226646387068,65.62499999999999,0.38414634146341786,0.53051163010859,19.999999999999574,2.060652264081128,2021-04-29 08:54:20
80.29891304347825,0.5927608041939201,48.105000000000004,0.49645390070921874,-0.04964539007092183,1.8599999999999999,0.0,0.0,64.55792682926828,0.693597560975613,0.53051163010859,19.999999999999574,2.060652264081128,2021-04-29 08:54:30
80.39855072463767,0.58136154165304,46.77,0.4964539007092186,-0.04609929078014169,1.8599999999999999,0.0,0.0,66.15853658536584,0.7051961823966097,0.5203094687817765,19.999999999999574,2.060652264081128,2021-04-29 08:54:40
80.47101449275361,0.5851612958333334,46.14,0.5200945626477527,-0.03309692671394785,1.8599999999999999,6.000000000002004,0.9932792354660462,66.15853658536584,0.2598091198303316,0.5237101892240478,20.999999999999908,3.053931499547174,2021-04-29 08:54:50
80.57065217391303,0.5889610500136266,46.019999999999996,0.6146572104018908,-0.023640661938534147,1.8599999999999999,0.0,0.0,66.15853658536584,0.408271474019091,0.5271109096663189,20.999999999999908,3.053931499547174,2021-04-29 08:55:00
80.59782608695652,0.5927608041939201,46.17,0.5039193729003355,-0.015957446808510505,1.8599999999999999,0.0,0.0,66.15853658536584,0.853658536585369,0.53051163010859,20.999999999999908,3.053931499547174,2021-04-29 08:55:10
80.67934782608695,0.5927608041939201,45.52,0.3247480403135492,-0.014184397163120449,1.8599999999999999,5.999999999996675,0.9717571271615788,66.15853658536584,0.853658536585369,0.53051163010859,21.999999999999353,4.025688626708753,2021-04-29 08:55:20
80.78804347826087,0.5927608041939201,47.04,0.1455767077267628,-0.019503546099290663,2.1599999999999997,0.0,0.0,66.15853658536584,1.013719512195125,0.53051163010859,21.999999999999353,4.025688626708753,2021-04-29 08:55:30
80.81521739130434,0.5927608041939201,46.19,-0.033594624860023625,-0.015957446808510533,2.0100000000000002,3.0000000000036664,0.47885701499914957,67.7591463414634,1.2271341463414664,0.53051163010859,22.499999999999964,4.504545641707903,2021-04-29 08:55:40
80.89673913043478,0.5927608041939201,45.34,-0.21276595744680998,-0.019503546099290666,1.8599999999999999,2.9999999999983373,0.4746427907751746,68.29268292682926,1.2804878048780517,0.53051163010859,22.999999999999687,4.9791884324830775,2021-04-29 08:55:50
80.95108695652172,0.5927608041939201,45.34,-0.39193729003359634,-0.026595744680850936,2.0100000000000002,0.0,0.0,68.29268292682926,1.9054878048780515,0.53051163010859,22.999999999999687,4.9791884324830775,2021-04-29 08:56:00
80.99184782608694,0.5927608041939201,45.34,-0.5711086226203828,-0.03368794326241121,2.1599999999999997,0.0,0.0,68.29268292682926,2.7212906504065066,0.53051163010859,22.999999999999687,4.9791884324830775,2021-04-29 08:56:10
81.05978260869566,0.5927608041939201,45.12,-0.7502799552071692,-0.035460992907801275,2.1599999999999997,6.000000000002004,0.9324229364550308,68.29268292682926,3.028290889526545,0.41262015675112557,24.00000000000002,5.911611368938108,2021-04-29 08:56:20
81.15489130434781,0.5927608041939201,45.269999999999996,-0.9294512877939555,-0.031914893617021135,2.0100000000000002,0.0,0.0,68.29268292682926,2.5264526542324273,0.11789147335746446,24.00000000000002,5.911611368938108,2021-04-29 08:56:30
81.19565217391305,0.58706117292348,45.42,-1.0460992907801443,-0.026595744680850932,1.8599999999999999,0.0,0.0,68.29268292682926,2.0274390243902465,0.0583789499383537,24.00000000000002,5.911611368938108,2021-04-29 08:56:40
81.20923913043478,0.58136154165304,45.35,-1.0106382978723423,-0.023049645390070803,1.8599999999999999,2.9999999999983373,0.45847943778367223,68.29268292682926,1.600609756097564,0.057812163197975164,24.499999999999744,6.37009080672178,2021-04-29 08:56:50
81.26358695652173,0.58136154165304,45.28,-1.0460992907801434,-0.02659574468085095,1.8599999999999999,2.9999999999983373,0.45566701411833327,68.29268292682926,1.434620596205965,0.17343648959392552,24.999999999999467,6.8257578208401135,2021-04-29 08:57:00
81.31340579710144,0.58136154165304,44.37,-1.0106382978723416,-0.021276595744680743,2.46,0.0,0.0,68.29268292682926,1.6183943089430923,0.057812163197975164,24.999999999999467,6.8257578208401135,2021-04-29 08:57:10
81.34963768115941,0.58706117292348,46.03,-1.0815602836879448,-0.023049645390070816,3.0599999999999996,6.000000000002004,0.9024263450292769,68.29268292682926,2.347560975609759,0.0583789499383537,25.9999999999998,7.72818416586939,2021-04-29 08:57:20
81.39945652173913,0.5927608041939201,47.515,-1.134751773049647,-0.028368794326241016,3.0599999999999996,2.9999999999983373,0.4486341668123549,68.82621951219511,2.2586382113821166,0.05894573667873223,26.499999999999524,8.176818332681744,2021-04-29 08:57:30
81.41304347826086,0.58136154165304,49.0,-1.1170212765957466,-0.03014184397163108,3.0599999999999996,3.0000000000036664,0.4479307426731869,70.42682926829268,1.8516857962697304,0.057812163197975164,27.000000000000135,8.62474907535493,2021-04-29 08:57:40
81.41304347826086,0.58136154165304,48.77,-0.7801418439716337,-0.0336879432624112,3.0599999999999996,0.0,0.0,70.42682926829268,1.4601640961262587,0.057812163197975164,27.000000000000135,8.62474907535493,2021-04-29 08:57:50
81.41304347826086,0.58136154165304,48.33,0.3546099290780125,-0.02250409165302769,3.0599999999999996,5.999999999996675,0.8958614853447824,71.4939024390244,2.113185975609759,0.057812163197975164,27.99999999999958,9.520610560699714,2021-04-29 08:58:00
81.41304347826086,0.5927608041939201,48.655,1.175585643670749,-0.012365884706310108,3.0599999999999996,3.0000000000036664,0.4479307426731869,80.2730044345898,3.9253048780487827,0.05894573667873223,28.500000000000192,9.9685413033729,2021-04-29 08:58:10
81.41304347826086,0.58136154165304,48.98,1.0552331828927564,-0.042189488997999486,3.0599999999999996,2.9999999999983373,0.4479307426723912,110.81393200295639,4.182926829268295,0.057812163197975164,28.999999999999915,10.41647204604529,2021-04-29 08:58:20
81.44565217391303,1.0145329693220302,50.08,0.7084139264990319,-0.039007092198581415,3.36,0.0,0.0,170.3637510513036,4.225609756097564,0.10088790088418957,28.999999999999915,10.41647204604529,2021-04-29 08:58:30
81.48913043478261,1.2197193922250702,50.08,0.6493794326241125,-0.02482269503546087,3.36,5.999999999996675,0.8879822062356768,238.26198486122792,5.401031894934337,0.12129219342330419,29.99999999999936,11.304454252280967,2021-04-29 08:58:40
81.4945652173913,1.4249058151281102,49.28,0.4902079303675036,-0.0026595744680849866,3.21,2.9999999999983373,0.4437096702493388,283.5569105691057,6.280353022363117,0.14169648596241882,30.499999999999083,11.748163922530306,2021-04-29 08:58:50
81.41304347826086,1.41920621414095,48.48,0.44994013079119344,0.006205673758865383,3.0599999999999996,3.0000000000036664,0.4479307426731869,302.5650406504065,6.448669427012575,0.14112970223349153,30.999999999999694,12.196094665203493,2021-04-29 08:59:00
